,dt,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
0,2018-01-15T06:00:00.000000000Z,1343.840,1344.465,1340.2479999999998,1343.0910000000001,51595,,,,,,,,,,1342.6013333333333,1344.9546666666668,1346.8183333333334,1351.0353333333335,1340.7376666666667,1338.3843333333332,1334.167333333333
1,2018-01-15T10:00:00.000000000Z,1343.111,1343.806,1340.412,1342.2520000000002,37417,,,,,,,,,,1342.1566666666668,1343.9013333333335,1345.5506666666668,1348.9446666666668,1340.5073333333335,1338.7626666666667,1335.3686666666667
2,2018-01-15T14:00:00.000000000Z,1342.124,1342.264,1338.65,1340.832,41500,,,,,,,,,,1340.582,1342.5140000000001,1344.196,1347.8099999999997,1338.9000000000003,1336.9680000000003,1333.3540000000005
3,2018-01-15T22:00:00.000000000Z,1340.494,1342.444,1338.1779999999999,1340.682,36209,,,,,,,,,,1340.4346666666668,1342.6913333333337,1344.7006666666668,1348.966666666667,1338.4253333333336,1336.1686666666667,1331.9026666666666
4,2018-01-16T02:00:00.000000000Z,1340.672,1342.086,1339.85,1341.075,25594,,,,,,,1341.5864,1342.1081418662518,1341.064658133748,1341.0036666666665,1342.157333333333,1343.2396666666666,1345.4756666666667,1339.921333333333,1338.7676666666664,1336.5316666666663
5,2018-01-16T06:00:00.000000000Z,1341.188,1341.614,1332.979,1334.431,72844,1340.3938333333333,,1332.979,1344.465,12.641476580184694,,1339.8543999999997,1341.4014181236814,1338.307381876318,1336.3413333333333,1339.7036666666665,1344.9763333333333,1353.6113333333333,1331.0686666666666,1327.7063333333333,1319.0713333333333
6,2018-01-16T10:00:00.000000000Z,1334.538,1337.2939999999999,1331.884,1333.489,57574,1338.7934999999998,,1331.884,1343.806,13.462506290890913,,1338.1017999999997,1340.0008793624804,1336.202720637519,1334.2223333333334,1336.5606666666667,1339.6323333333332,1345.042333333333,1331.150666666667,1328.8123333333335,1323.4023333333337
7,2018-01-16T14:00:00.000000000Z,1333.396,1335.9389999999999,1332.0810000000001,1334.735,68013,1337.5406666666665,,1331.884,1342.444,26.998106060605114,17.700696310560243,1336.8823999999995,1338.7220791024517,1335.0427208975473,1334.2516666666668,1336.4223333333334,1338.1096666666665,1341.9676666666662,1332.5643333333337,1330.393666666667,1326.5356666666673
8,2018-01-16T18:00:00.000000000Z,1334.829,1340.239,1334.576,1338.5620000000001,52773,1337.162333333333,,1331.884,1342.444,63.238636363637745,34.56641623837792,1336.4583999999995,1338.071547606389,1334.84525239361,1337.7923333333335,1341.008666666667,1343.4553333333336,1349.1183333333336,1335.345666666667,1332.1293333333335,1326.4663333333335
9,2018-01-16T22:00:00.000000000Z,1338.738,1344.03,1338.2939999999999,1343.787,42345,1337.6798333333331,1339.2936,1331.884,1344.03,97.999341346946,62.745361257062946,1337.0007999999996,1339.13035859276,1334.871241407239,1342.037,1345.7800000000002,1347.7730000000001,1353.5090000000002,1340.044,1336.301,1330.5649999999998
10,2018-01-17T02:00:00.000000000Z,1343.891,1344.0379999999998,1333.942,1334.402,59723,1336.5676666666666,1338.4247,1331.884,1344.0379999999998,20.71745927266807,60.6518123277506,1336.9949999999997,1339.126754529724,1334.8632454702754,1337.4606666666666,1340.9793333333332,1347.5566666666664,1357.6526666666662,1330.8833333333334,1327.3646666666668,1317.268666666667
11,2018-01-17T06:00:00.000000000Z,1334.522,1336.374,1333.0529999999999,1335.8039999999999,54309,1336.7964999999997,1337.7799,1331.884,1344.0379999999998,32.25275629422347,50.32318563794584,1337.4579999999999,1339.4067919014096,1335.50920809859,1335.077,1337.101,1338.3980000000001,1341.7190000000003,1333.78,1331.7559999999999,1328.4349999999997
12,2018-01-17T10:00:00.000000000Z,1335.902,1339.0620000000001,1334.395,1335.119,46663,1337.0681666666667,1337.2086,1332.0810000000001,1344.0379999999998,25.407710964287627,26.125975510393047,1337.5348,1339.4516877575381,1335.6179122424617,1336.192,1337.989,1340.8590000000002,1345.5260000000003,1333.322,1331.5249999999999,1326.8579999999997
13,2018-01-17T14:00:00.000000000Z,1335.104,1337.224,1330.98,1335.943,81163,1337.2694999999999,1336.7346999999997,1330.98,1344.0379999999998,38.00735181497974,31.88927302449694,1337.011,1338.9296289701242,1335.0923710298757,1334.7156666666667,1338.4513333333334,1340.9596666666666,1347.2036666666665,1332.2073333333335,1328.4716666666668,1322.227666666667
14,2018-01-17T18:00:00.000000000Z,1335.840,1340.566,1326.0320000000002,1326.7910000000002,99438,1335.3076666666666,1335.3062999999997,1326.0320000000002,1344.0379999999998,4.215261579473676,22.54344145291368,1333.6118,1335.5427909178968,1331.680809082103,1331.1296666666667,1336.2273333333333,1345.6636666666666,1360.1976666666665,1321.6933333333334,1316.5956666666668,1302.061666666667
