,dt,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
0,2018-05-04T16:00:00.000000000Z,130.401,130.415,130.328,130.346,190,,,,,,,,,,130.363,130.398,130.45,130.53699999999998,130.311,130.276,130.18900000000002
1,2018-05-04T16:15:00.000000000Z,130.342,130.40200000000002,130.322,130.35,249,,,,,,,,,,130.35800000000003,130.39400000000006,130.43800000000005,130.51800000000006,130.31400000000005,130.27800000000002,130.198
2,2018-05-04T16:30:00.000000000Z,130.354,130.399,130.338,130.394,147,,,,,,,,,,130.37699999999998,130.41599999999997,130.438,130.499,130.35499999999996,130.31599999999997,130.25499999999997
3,2018-05-04T16:45:00.000000000Z,130.390,130.44799999999998,130.364,130.368,352,,,,,,,,,,130.39333333333335,130.4226666666667,130.47733333333332,130.5613333333333,130.3386666666667,130.30933333333337,130.2253333333334
4,2018-05-04T17:00:00.000000000Z,130.371,130.434,130.352,130.392,197,,,,,,,130.37000000000003,130.38129158979066,130.3587084102094,130.39266666666666,130.4333333333333,130.47466666666665,130.55666666666664,130.35133333333332,130.31066666666666,130.22866666666667
5,2018-05-04T17:15:00.000000000Z,130.388,130.438,130.385,130.39600000000002,111,130.37433333333334,,130.322,130.44799999999998,58.7301587301795,,130.38000000000002,130.39012422836566,130.36987577163438,130.40633333333332,130.42766666666665,130.45933333333332,130.51233333333332,130.37466666666666,130.35333333333332,130.30033333333333
6,2018-05-04T17:30:00.000000000Z,130.394,130.42,130.38,130.4,112,130.38333333333335,,130.322,130.44799999999998,61.904761904775874,,130.39000000000001,130.39632455532035,130.38367544467968,130.39999999999998,130.41999999999996,130.43999999999997,130.47999999999996,130.37999999999997,130.35999999999999,130.32
7,2018-05-04T17:45:00.000000000Z,130.396,130.494,130.39600000000002,130.474,119,130.40400000000002,,130.338,130.494,87.17948717948111,69.27146927147884,130.406,130.42600000000002,130.386,130.45466666666667,130.51333333333332,130.55266666666665,130.65066666666664,130.41533333333334,130.35666666666668,130.2586666666667
8,2018-05-04T18:00:00.000000000Z,130.470,130.514,130.422,130.514,130,130.424,,130.352,130.514,100.0,83.02808302808567,130.43519999999998,130.46299028607265,130.4074097139273,130.48333333333335,130.5446666666667,130.57533333333336,130.66733333333337,130.4526666666667,130.39133333333334,130.29933333333332
9,2018-05-04T18:15:00.000000000Z,130.511,130.511,130.458,130.496,123,130.44533333333334,130.413,130.352,130.514,88.88888888888889,92.02279202279,130.456,130.48341350032376,130.42858649967621,130.48833333333334,130.5186666666667,130.54133333333334,130.59433333333334,130.4656666666667,130.43533333333335,130.38233333333335
