,dt,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
0,2018-04-13T01:00:00.000000000Z,1.25888,1.25934,1.2584600000000001,1.2591700000000001,1812,,,,,,,,,,1.25899,1.25952,1.2598699999999998,1.2607499999999996,1.2586400000000002,1.2581100000000003,1.2572300000000005
1,2018-04-13T02:00:00.000000000Z,1.25917,1.25937,1.2588,1.25885,1667,,,,,,,,,,1.2590066666666668,1.2592133333333337,1.259576666666667,1.2601466666666672,1.2586433333333336,1.2584366666666666,1.2578666666666665
2,2018-04-13T03:00:00.000000000Z,1.25886,1.25906,1.2584600000000001,1.25862,1008,,,,,,,,,,1.2587133333333334,1.2589666666666666,1.2593133333333333,1.2599133333333332,1.2583666666666666,1.2581133333333334,1.2575133333333335
3,2018-04-13T04:00:00.000000000Z,1.25864,1.25886,1.25853,1.25862,896,,,,,,,,,,1.25867,1.25881,1.2590000000000001,1.2593300000000003,1.2584799999999998,1.2583399999999998,1.2580099999999996
4,2018-04-13T05:00:00.000000000Z,1.25862,1.25863,1.25806,1.25854,1287,,,,,,,1.25876,1.258888403660384,1.2586315963396162,1.2584099999999998,1.2587599999999997,1.2589799999999998,1.2595499999999997,1.2581899999999997,1.2578399999999998,1.2572699999999999
5,2018-04-13T06:00:00.000000000Z,1.25852,1.25889,1.25702,1.25746,4283,1.2585433333333333,,1.25702,1.25937,18.723404255318385,,1.258418,1.258691961676152,1.258144038323848,1.25779,1.25856,1.25966,1.26153,1.2566899999999999,1.25592,1.2540499999999999
6,2018-04-13T07:00:00.000000000Z,1.25748,1.25787,1.25601,1.25665,3432,1.2581233333333333,,1.25601,1.25937,19.047619047618102,,1.257978,1.2584232583519712,1.2575327416480289,1.2568433333333335,1.257676666666667,1.2587033333333335,1.2605633333333335,1.255816666666667,1.2549833333333336,1.2531233333333336
7,2018-04-13T08:00:00.000000000Z,1.25664,1.25858,1.25604,1.2567,4010,1.2577649999999998,,1.25601,1.25906,22.622950819667476,20.131324707534656,1.2575939999999999,1.2580720115061375,1.2571159884938623,1.2571066666666666,1.2581733333333331,1.2596466666666666,1.2621866666666666,1.2556333333333332,1.2545666666666666,1.2520266666666666
8,2018-04-13T09:00:00.000000000Z,1.25669,1.25701,1.25597,1.2564600000000001,2558,1.2574049999999997,,1.25597,1.25889,16.7808219178115,19.483797261699024,1.257162,1.2575918313622805,1.2567321686377193,1.25648,1.25699,1.25752,1.25856,1.2559500000000001,1.2554400000000001,1.2544000000000002
9,2018-04-13T10:00:00.000000000Z,1.25646,1.2565600000000001,1.25518,1.2565600000000001,2846,1.2570616666666663,1.2577630000000002,1.25518,1.25889,37.19676549865555,25.533512745378175,1.256766,1.2569652987706936,1.2565667012293065,1.2561,1.25702,1.2574800000000002,1.2588600000000003,1.2556399999999999,1.2547199999999998,1.2533399999999997
10,2018-04-13T11:00:00.000000000Z,1.25656,1.25738,1.25596,1.2568700000000002,3604,1.256783333333333,1.257533,1.25518,1.25889,45.55256064690417,33.17671602112374,1.256648,1.2567250876124936,1.2565709123875064,1.2567366666666666,1.2575133333333333,1.2581566666666666,1.2595766666666666,1.2560933333333333,1.2553166666666666,1.2538966666666667
11,2018-04-13T12:00:00.000000000Z,1.25686,1.25728,1.25596,1.2571299999999999,2631,1.256728333333333,1.257361,1.25518,1.25858,57.352941176466366,46.70075577400869,1.256744,1.256876599019604,1.2566114009803961,1.2567899999999999,1.2576199999999997,1.2581099999999998,1.2594299999999998,1.2562999999999998,1.2554699999999999,1.2541499999999999
12,2018-04-13T13:00:00.000000000Z,1.25712,1.2595,1.25673,1.25804,4097,1.2569599999999994,1.2573029999999998,1.25518,1.2595,66.20370370370411,56.36973517569154,1.2570120000000002,1.2573282159072534,1.256695784092747,1.2580900000000002,1.2594500000000004,1.2608600000000003,1.2636300000000005,1.2566800000000002,1.25532,1.2525499999999998
13,2018-04-13T14:00:00.000000000Z,1.25806,1.26084,1.25738,1.2608,5171,1.2576433333333326,1.2575209999999999,1.25518,1.26084,99.29328621908057,74.28331036641701,1.25788,1.2587415755915765,1.2570184244084237,1.2596733333333334,1.261966666666667,1.2631333333333334,1.2665933333333335,1.2585066666666669,1.2562133333333334,1.2527533333333334
14,2018-04-13T15:00:00.000000000Z,1.26086,1.2615399999999999,1.25944,1.2604799999999998,5006,1.2583133333333325,1.2577149999999997,1.25518,1.2615399999999999,83.33333333333218,82.94344108537227,1.258664,1.2595934258980683,1.2577345741019317,1.2604866666666665,1.2615333333333332,1.2625866666666665,1.2646866666666665,1.2594333333333332,1.2583866666666665,1.2562866666666666
15,2018-04-13T16:00:00.000000000Z,1.26048,1.26134,1.25999,1.2603600000000001,2654,1.2589466666666658,1.2580049999999998,1.25596,1.2615399999999999,78.85304659498648,87.15988871579974,1.2593619999999999,1.2601927857726274,1.2585312142273724,1.2605633333333335,1.261136666666667,1.2619133333333334,1.2632633333333334,1.259786666666667,1.2592133333333335,1.2578633333333336
16,2018-04-13T17:00:00.000000000Z,1.26034,1.26098,1.26016,1.2608,2237,1.2596016666666656,1.2584199999999996,1.25596,1.2615399999999999,86.73835125448076,82.97491039426644,1.2600959999999999,1.2606788550420134,1.2595131449579864,1.2606466666666665,1.261133333333333,1.2614666666666665,1.2622866666666666,1.260313333333333,1.2598266666666664,1.2590066666666664
17,2018-04-13T18:00:00.000000000Z,1.26080,1.26179,1.26052,1.26121,2168,1.2602816666666656,1.2588709999999996,1.25673,1.26179,88.53754940711428,84.70964908552715,1.26073,1.2608957558445446,1.2605642441554552,1.2611733333333335,1.2618266666666669,1.2624433333333334,1.2637133333333332,1.260556666666667,1.2599033333333336,1.2586333333333337
18,2018-04-13T19:00:00.000000000Z,1.26120,1.26178,1.26027,1.2605600000000001,3669,1.2607016666666655,1.2592809999999997,1.25738,1.26179,72.1088435374187,82.46158139967122,1.2606819999999999,1.2608500922365864,1.2605139077634133,1.26087,1.2614699999999999,1.2623799999999998,1.2638899999999997,1.25996,1.25936,1.2578500000000001
19,2018-04-13T20:00:00.000000000Z,1.26055,1.2616,1.2599,1.26157,2995,1.2608299999999988,1.2597819999999997,1.25944,1.26179,90.63829787234553,83.76156360562615,1.2609,1.2611452294843626,1.2606547705156372,1.2610233333333334,1.2621466666666667,1.2627233333333334,1.2644233333333335,1.2604466666666667,1.2593233333333334,1.2576233333333333
20,2018-04-15T21:00:00.000000000Z,1.25966,1.26041,1.25929,1.25929,570,1.2606316666666655,1.2600239999999998,1.25929,1.26179,0.0,54.249047136588054,1.2606859999999998,1.261121439433217,1.2602505605667824,1.2596633333333334,1.2600366666666667,1.2607833333333334,1.2619033333333334,1.2589166666666667,1.2585433333333333,1.2574233333333333
21,2018-04-15T22:00:00.000000000Z,1.25930,1.2609,1.2593,1.2601,2617,1.260588333333332,1.2603209999999998,1.25929,1.26179,32.399999999999785,41.012765957448416,1.2605459999999997,1.2609978102477817,1.2600941897522178,1.2601,1.2609,1.2616999999999998,1.2632999999999996,1.2593,1.2585000000000002,1.2569000000000004
22,2018-04-15T23:00:00.000000000Z,1.26012,1.26071,1.26011,1.2604,707,1.2605216666666657,1.260557,1.25929,1.26179,44.39999999999872,25.599999999999483,1.2603839999999997,1.2607959557015025,1.259972044298497,1.2604066666666667,1.2607033333333333,1.2610066666666666,1.2616066666666665,1.2601033333333334,1.2598066666666667,1.2592066666666668
23,2018-04-16T00:00:00.000000000Z,1.26040,1.26095,1.2601,1.2603,2130,1.260369999999999,1.2605069999999998,1.25929,1.26178,40.56224899598408,39.12074966532751,1.2603319999999996,1.260741105732055,1.2599228942679441,1.2604499999999998,1.2607999999999997,1.2612999999999999,1.2621499999999999,1.2599499999999997,1.2595999999999998,1.2587499999999998
24,2018-04-16T01:00:00.000000000Z,1.26032,1.26096,1.2599799999999999,1.26094,1859,1.2604333333333324,1.2605529999999998,1.25929,1.2616,71.42857142856731,52.13027347485002,1.2602059999999997,1.2605055329698054,1.259906467030194,1.2606266666666668,1.2612733333333337,1.261606666666667,1.2625866666666672,1.2602933333333335,1.2596466666666666,1.2586666666666664
25,2018-04-16T02:00:00.000000000Z,1.26088,1.26112,1.2606,1.26086,1356,1.260314999999999,1.260603,1.25929,1.26112,85.79234972677993,65.92772338377709,1.2605199999999996,1.2607022086715844,1.2603377913284148,1.26086,1.2611200000000002,1.2613800000000002,1.2619000000000002,1.2606000000000002,1.26034,1.25982
26,2018-04-16T03:00:00.000000000Z,1.26086,1.26108,1.26076,1.26092,922,1.2605866666666656,1.260615,1.2593,1.26112,89.01098901098982,82.077303388779,1.260684,1.26083817522499,1.2605298247750099,1.26092,1.26108,1.26124,1.2615599999999998,1.26076,1.2606000000000002,1.2602800000000003
27,2018-04-16T04:00:00.000000000Z,1.26093,1.26144,1.26089,1.26138,868,1.2607999999999988,1.2606319999999998,1.2599799999999999,1.26144,95.89041095890765,90.23124989889244,1.2608799999999998,1.2610723538406183,1.2606876461593812,1.2612366666666668,1.2615833333333335,1.2617866666666666,1.2623366666666664,1.2610333333333337,1.260686666666667,1.2601366666666671
28,2018-04-16T05:00:00.000000000Z,1.26136,1.2619,1.26116,1.2617,1350,1.2610166666666653,1.2607459999999997,1.2599799999999999,1.2619,89.58333333333526,91.49491110107755,1.2611599999999998,1.261343030052179,1.2609769699478206,1.2615866666666669,1.2620133333333337,1.2623266666666668,1.2630666666666668,1.2612733333333337,1.260846666666667,1.260106666666667
29,2018-04-16T06:00:00.000000000Z,1.26166,1.26232,1.26071,1.26227,2497,1.2613449999999988,1.2608159999999997,1.2599799999999999,1.26232,97.86324786324356,94.44566405182879,1.261426,1.2617181814504734,1.2611338185495264,1.2617666666666667,1.2628233333333334,1.2633766666666668,1.264986666666667,1.2612133333333333,1.2601566666666666,1.2585466666666665
