,dt,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
18,2018-05-04T15:30:00.000000000Z,1310.486,1311.0720000000001,1309.881,1310.6680000000001,8651,1311.1878333333332,1310.6835,1309.874,1313.7520000000002,20.474471377000114,26.16668166983384,1311.2269999999996,1311.7212926764573,1310.732707323542,1310.5403333333336,1311.199666666667,1311.7313333333336,1312.9223333333337,1310.008666666667,1309.3493333333336,1308.1583333333335
19,2018-05-04T15:45:00.000000000Z,1310.674,1311.984,1310.557,1311.475,8939,1311.2683333333332,1310.9058,1309.874,1313.7520000000002,41.284167096436846,26.54090538111214,1310.9435999999998,1311.166773867197,1310.7204261328027,1311.3386666666668,1312.1203333333335,1312.7656666666667,1314.1926666666666,1310.6933333333336,1309.9116666666669,1308.484666666667
20,2018-05-04T16:00:00.000000000Z,1311.591,1311.7220000000002,1310.599,1311.717,7231,1311.0725,1311.1714000000002,1309.874,1313.193,55.528773727029126,39.09580406682205,1311.0328,1311.3120936179002,1310.7535063820997,1311.346,1312.093,1312.4690000000003,1313.5920000000006,1310.9699999999998,1310.2229999999997,1309.0999999999995
21,2018-05-04T16:15:00.000000000Z,1311.589,1313.224,1311.36,1312.2320000000002,8660,1311.2326666666665,1311.3980000000001,1309.874,1313.224,70.38805970149966,55.733666841655236,1311.292,1311.6744972222118,1310.909502777788,1312.272,1313.184,1314.136,1316.0,1311.32,1310.408,1308.5439999999999
22,2018-05-04T16:30:00.000000000Z,1312.346,1312.674,1311.24,1312.668,5817,1311.5213333333334,1311.5219000000002,1309.874,1313.224,83.40298507462522,69.7732728343847,1311.7519999999997,1312.132990977583,1311.3710090224165,1312.1939999999997,1313.1479999999995,1313.6279999999997,1315.0619999999997,1311.7139999999995,1310.7599999999998,1309.3259999999998
23,2018-05-04T16:45:00.000000000Z,1312.676,1313.871,1312.461,1313.485,9320,1312.0408333333335,1311.7712000000001,1309.881,1313.871,90.325814536336,81.372286437487,1312.3153999999995,1312.715681244876,1311.915118755123,1313.2723333333333,1314.0836666666667,1314.6823333333334,1316.0923333333335,1312.6736666666666,1311.8623333333333,1310.4523333333332
24,2018-05-04T17:00:00.000000000Z,1313.349,1314.0929999999998,1313.0539999999999,1313.576,6144,1312.5255,1311.8396,1310.557,1314.0929999999998,85.37895927602234,86.36925296232789,1312.7355999999995,1313.135881244876,1312.3353187551231,1313.5743333333332,1314.0946666666666,1314.6133333333332,1315.6523333333332,1313.0556666666666,1312.5353333333333,1311.4963333333333
25,2018-05-04T17:15:00.000000000Z,1313.694,1314.616,1312.9660000000001,1314.2979999999998,6009,1312.996,1312.1423,1310.599,1314.616,92.08364451082383,89.26280610772743,1313.2517999999995,1313.6576045095849,1312.8459954904142,1313.96,1314.954,1315.61,1317.2599999999998,1313.304,1312.3100000000002,1310.6600000000003
26,2018-05-04T17:30:00.000000000Z,1314.177,1314.65,1313.475,1313.628,5764,1313.3145000000002,1312.4115000000002,1311.24,1314.65,70.02932551319245,82.49730976667956,1313.5309999999995,1313.8211086003544,1313.2408913996446,1313.9176666666665,1314.360333333333,1315.0926666666667,1316.2676666666669,1313.185333333333,1312.7426666666663,1311.5676666666661
27,2018-05-04T17:45:00.000000000Z,1313.624,1314.5120000000002,1313.59,1313.971,3516,1313.6043333333334,1312.7718,1311.24,1314.65,80.08797653958736,80.73364885453458,1313.7915999999998,1313.960396697242,1313.6228033027576,1314.0243333333333,1314.4586666666667,1314.9463333333335,1315.8683333333338,1313.5366666666664,1313.102333333333,1312.1803333333328
28,2018-05-04T18:00:00.000000000Z,1314.092,1314.525,1313.5839999999998,1314.41,4368,1313.8946666666668,1313.1460000000002,1312.461,1314.65,89.03608953860208,79.71779719712733,1313.9765999999997,1314.1658695168264,1313.787330483173,1314.173,1314.7620000000002,1315.1140000000003,1316.0550000000005,1313.821,1313.2319999999997,1312.2909999999995
29,2018-05-04T18:15:00.000000000Z,1314.525,1315.162,1314.194,1314.66,4736,1314.0905,1313.4645,1312.9660000000001,1315.162,77.14025500910871,82.08810702909942,1314.1933999999997,1314.3941347752625,1313.9926652247368,1314.6719999999998,1315.1499999999996,1315.6399999999999,1316.608,1314.1819999999996,1313.7039999999997,1312.7359999999996
30,2018-05-04T18:30:00.000000000Z,1314.648,1314.954,1314.026,1314.276,4175,1314.2071666666668,1313.7204,1312.9660000000001,1315.162,59.653916211293144,75.27675358633468,1314.1889999999999,1314.3890774849897,1313.98892251501,1314.4186666666667,1314.8113333333333,1315.3466666666666,1316.2746666666665,1313.8833333333334,1313.4906666666668,1312.562666666667
31,2018-05-04T18:45:00.000000000Z,1314.160,1314.971,1314.128,1314.756,3803,1314.2835000000002,1313.9728,1313.475,1315.162,75.93360995851104,70.909260392971,1314.4145999999998,1314.571281843236,1314.2579181567637,1314.6183333333336,1315.1086666666672,1315.4613333333336,1316.3043333333337,1314.2656666666671,1313.7753333333335,1312.9323333333334
32,2018-05-04T19:00:00.000000000Z,1314.632,1314.76,1314.031,1314.227,2610,1314.3833333333337,1314.1287,1313.5839999999998,1315.162,40.7477820025459,58.77843605745007,1314.4658,1314.5825510171258,1314.3490489828741,1314.3393333333333,1314.6476666666667,1315.0683333333334,1315.7973333333334,1313.9186666666667,1313.6103333333333,1312.8813333333333
33,2018-05-04T19:15:00.000000000Z,1314.332,1314.453,1313.664,1313.9260000000002,2482,1314.3758333333337,1314.1727999999998,1313.5839999999998,1315.162,21.673003802299228,46.11813192111877,1314.3690000000001,1314.5384682861186,1314.1995317138817,1314.0143333333335,1314.364666666667,1314.8033333333335,1315.5923333333335,1313.575666666667,1313.2253333333335,1312.4363333333336
34,2018-05-04T19:30:00.000000000Z,1313.931,1314.4270000000001,1313.715,1314.11,3005,1314.325833333334,1314.2261999999998,1313.664,1315.162,29.773030707603375,30.73127217081621,1314.259,1314.413396405398,1314.104603594602,1314.0839999999998,1314.4529999999997,1314.796,1315.5080000000003,1313.7409999999995,1313.3719999999996,1312.6599999999994
35,2018-05-04T19:45:00.000000000Z,1314.095,1314.75,1313.911,1314.106,3618,1314.2335000000005,1314.2069999999999,1313.664,1314.971,33.81790359602155,28.421312701974767,1314.225,1314.3828670326568,1314.067132967343,1314.2556666666667,1314.6003333333333,1315.0946666666666,1315.9336666666666,1313.7613333333334,1313.4166666666667,1312.5776666666668
36,2018-05-04T20:00:00.000000000Z,1313.982,1314.731,1313.9260000000002,1314.7279999999998,1672,1314.3088333333342,1314.3169999999998,1313.664,1314.971,81.40780413158664,48.33291281173724,1314.2194,1314.3713957236234,1314.0674042763765,1314.4616666666668,1314.9973333333335,1315.2666666666667,1316.0716666666665,1314.1923333333336,1313.656666666667,1312.8516666666671
37,2018-05-04T20:15:00.000000000Z,1314.600,1315.129,1314.596,1314.714,959,1314.3018333333341,1314.3912999999998,1313.664,1315.129,71.67235494880636,62.299354225471575,1314.3168,1314.5050121143813,1314.1285878856188,1314.8129999999999,1315.0299999999997,1315.3459999999998,1315.8789999999997,1314.4969999999998,1314.28,1313.747
38,2018-05-04T20:30:00.000000000Z,1314.818,1315.14,1314.6970000000001,1315.095,944,1314.4465000000007,1314.4597999999999,1313.664,1315.14,96.95121951219042,83.34379286419453,1314.5506,1314.7665773136234,1314.3346226863766,1314.9773333333335,1315.2576666666669,1315.4203333333335,1315.8633333333335,1314.8146666666669,1314.5343333333335,1314.0913333333335
39,2018-05-04T20:45:00.000000000Z,1315.102,1315.514,1314.296,1315.495,1899,1314.7080000000008,1314.5432999999998,1313.715,1315.514,98.94385769872119,89.18914405323937,1314.8276,1315.0850462565274,1314.5701537434727,1315.1016666666667,1315.9073333333333,1316.3196666666665,1317.5376666666664,1314.6893333333335,1313.8836666666668,1312.665666666667
40,2018-05-06T22:00:00.000000000Z,1314.239,1315.6629999999998,1314.193,1315.241,1149,1314.896500000001,1314.6397999999997,1313.911,1315.6629999999998,75.91324200914016,90.60277307335065,1315.0546,1315.222864152451,1314.886335847549,1315.0323333333333,1315.8716666666667,1316.5023333333331,1317.972333333333,1314.4016666666669,1313.5623333333335,1312.0923333333337
41,2018-05-06T22:15:00.000000000Z,1315.021,1315.642,1314.957,1315.194,488,1315.0778333333344,1314.6835999999998,1313.9260000000002,1315.6629999999998,72.99942429476542,82.618841334209,1315.1478000000002,1315.2897372220389,1315.0058627779615,1315.2643333333333,1315.5716666666665,1315.9493333333332,1316.6343333333332,1314.8866666666665,1314.5793333333334,1313.8943333333334
42,2018-05-06T22:30:00.000000000Z,1315.188,1315.4260000000002,1314.7,1314.8210000000001,355,1315.0933333333344,1314.7429999999997,1314.193,1315.6629999999998,42.721088435390605,63.87791824643213,1315.1692,1315.291333328785,1315.0470666712151,1314.9823333333334,1315.2646666666667,1315.7083333333335,1316.4343333333336,1314.5386666666666,1314.2563333333333,1313.5303333333331
43,2018-05-06T22:45:00.000000000Z,1315.006,1315.3029999999999,1314.6960000000001,1314.934,176,1315.130000000001,1314.8437999999996,1314.193,1315.6629999999998,50.40816326531199,55.376225331822745,1315.1370000000002,1315.2700634247271,1315.0039365752732,1314.9776666666667,1315.2593333333332,1315.5846666666664,1316.1916666666662,1314.6523333333334,1314.370666666667,1313.7636666666672
44,2018-05-06T23:00:00.000000000Z,1315.201,1315.646,1314.668,1314.683,1508,1315.0613333333345,1314.9010999999996,1314.193,1315.6629999999998,33.33333333333849,42.1541950113471,1314.9746,1315.0943333495734,1314.8548666504266,1314.999,1315.3300000000002,1315.977,1316.9550000000002,1314.352,1314.021,1313.043
45,2018-05-06T23:15:00.000000000Z,1314.802,1315.06,1314.454,1314.852,1240,1314.9541666666678,1314.9756999999995,1314.193,1315.6629999999998,44.82993197280239,42.857142857151025,1314.8968,1314.9913961151424,1314.8022038848576,1314.7886666666666,1315.1233333333332,1315.3946666666666,1316.0006666666666,1314.5173333333332,1314.1826666666666,1313.5766666666666
46,2018-05-06T23:30:00.000000000Z,1314.984,1315.0220000000002,1314.45,1314.7479999999998,1425,1314.8720000000012,1314.9776999999995,1314.45,1315.646,24.91638795984918,34.35988442199675,1314.8076,1314.8558216237805,1314.7593783762197,1314.74,1315.03,1315.3120000000001,1315.8840000000002,1314.4579999999999,1314.168,1313.5959999999998
47,2018-05-06T23:45:00.000000000Z,1314.880,1314.8970000000002,1314.3020000000001,1314.6960000000001,2622,1314.7890000000014,1314.9758999999995,1314.3020000000001,1315.646,29.315476190480442,33.02059870771074,1314.7826,1314.8364256444459,1314.7287743555542,1314.631666666667,1314.9613333333336,1315.226666666667,1315.821666666667,1314.3663333333336,1314.0366666666669,1313.4416666666668
48,2018-05-07T00:00:00.000000000Z,1314.684,1317.618,1314.138,1315.7679999999998,6384,1314.9468333333346,1315.0431999999996,1314.138,1317.618,46.83908045976647,33.6903148700321,1314.9494,1315.1806108345213,1314.7181891654786,1315.841333333333,1317.5446666666662,1319.321333333333,1322.801333333333,1314.0646666666662,1312.361333333333,1308.881333333333
49,2018-05-07T00:15:00.000000000Z,1315.925,1317.1170000000002,1315.64,1317.024,5500,1315.295166666668,1315.1960999999997,1314.138,1317.618,82.93103448275725,53.028530377668126,1315.4176000000002,1315.9171169666793,1314.9180830333212,1316.5936666666669,1317.5473333333337,1318.070666666667,1319.547666666667,1316.0703333333336,1315.1166666666668,1313.6396666666667
50,2018-05-07T00:30:00.000000000Z,1316.926,1317.05,1316.3410000000001,1316.796,2045,1315.6473333333345,1315.3515999999995,1314.138,1317.618,76.3793103448309,68.71647509578494,1315.8064000000002,1316.3550649250685,1315.2577350749318,1316.729,1317.117,1317.4379999999999,1318.1469999999997,1316.4080000000001,1316.0200000000002,1315.3110000000004
51,2018-05-07T00:45:00.000000000Z,1316.902,1318.132,1316.61,1317.5020000000002,4488,1316.089000000001,1315.5823999999998,1314.138,1318.132,84.2263395092674,81.17889477895191,1316.3572000000004,1316.9192540899246,1315.7951459100761,1317.4146666666668,1318.2193333333337,1318.936666666667,1320.458666666667,1316.6973333333335,1315.8926666666666,1314.3706666666665
52,2018-05-07T01:00:00.000000000Z,1317.628,1319.132,1317.122,1318.935,5877,1316.7868333333345,1315.9937999999997,1314.138,1319.132,96.05526631958128,85.55363872455992,1317.2050000000004,1317.7830419534957,1316.626958046505,1318.3963333333334,1319.6706666666666,1320.4063333333334,1322.4163333333333,1317.6606666666667,1316.3863333333334,1314.3763333333334
53,2018-05-07T01:15:00.000000000Z,1318.827,1319.0420000000001,1318.207,1318.5379999999998,4055,1317.427166666668,1316.3541999999998,1314.138,1319.132,88.10572687224146,89.46244423369677,1317.7590000000002,1318.2282720426374,1317.289727957363,1318.5956666666668,1318.9843333333336,1319.4306666666669,1320.265666666667,1318.1493333333335,1317.7606666666668,1316.9256666666668
